date,callsign,number_of_summits,total_points,1pt,2pt,4pt,6pt,8pt,10pt,summits
2012-08-26,anon22082801,6,10,2,4,0,0,0,0,"GM/SS-119, GM/SS-122, GM/SS-133, GM/SS-140, GM/SS-168, GM/SS-179"
2010-05-29,anon22082801,6,6,6,0,0,0,0,0,"GM/CS-120, GM/CS-121, GM/CS-123, GM/ES-081, GM/NS-150, GM/NS-151"
2022-04-14,MM0EFI,5,36,0,0,0,2,3,0,"GM/CS-011, GM/CS-014, GM/CS-020, GM/CS-036, GM/CS-038"
2025-04-02,GM5ALX,5,36,0,0,0,2,3,0,"GM/CS-011, GM/CS-014, GM/CS-020, GM/CS-036, GM/CS-038"
2025-04-02,MM0EFI,5,36,0,0,0,2,3,0,"GM/CS-011, GM/CS-014, GM/CS-020, GM/CS-036, GM/CS-038"
2012-05-26,anon22082801,5,30,2,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026, GM/CS-109, GM/CS-119"
2010-06-01,anon22082801,5,8,2,3,0,0,0,0,"GM/ES-060, GM/ES-061, GM/ES-062, GM/ES-072, GM/ES-077"
2010-05-31,anon22082801,5,6,4,1,0,0,0,0,"GM/ES-054, GM/ES-071, GM/ES-073, GM/ES-079, GM/ES-083"
2010-05-23,anon22082801,5,5,5,0,0,0,0,0,"GM/SS-205, GM/SS-224, GM/SS-228, GM/SS-241, GM/SS-274"
2010-05-24,anon22082801,5,5,5,0,0,0,0,0,"GM/SS-217, GM/SS-245, GM/SS-256, GM/SS-267, GM/SS-281"
2010-06-02,anon22082801,5,5,5,0,0,0,0,0,"GM/ES-075, GM/ES-080, GM/ES-085, GM/ES-086, GM/SS-271"
2010-06-03,anon22082801,5,5,5,0,0,0,0,0,"GM/SS-198, GM/SS-262, GM/SS-275, GM/SS-277, GM/SS-280"
2012-08-29,anon22082801,5,5,5,0,0,0,0,0,"GM/SI-093, GM/SS-233, GM/SS-248, GM/SS-266, GM/SS-278"
2004-08-07,MM0DHY,4,40,0,0,0,0,0,4,"GM/ES-002, GM/ES-003, GM/ES-007, GM/ES-009"
2011-09-08,2M0NCM,4,36,0,0,0,0,2,2,"GM/CS-001, GM/CS-004, GM/CS-010, GM/CS-026"
2024-09-05,G5JFJ,4,36,0,0,0,0,2,2,"GM/CS-001, GM/CS-004, GM/CS-010, GM/CS-026"
2012-05-05,MM0YCJ,4,34,0,0,0,1,1,2,"GM/WS-008, GM/WS-012, GM/WS-026, GM/WS-064"
2022-08-26,MM0EFI,4,30,0,0,1,1,0,2,"GM/ES-004, GM/ES-006, GM/ES-015, GM/ES-023"
2023-06-29,MM0VPM,4,30,0,0,0,1,3,0,"GM/CS-011, GM/CS-014, GM/CS-020, GM/CS-036"
2005-07-23,GM7PKT,4,28,0,0,0,2,2,0,"GM/WS-025, GM/WS-033, GM/WS-059, GM/WS-094"
2011-07-30,GM7PKT,4,28,0,0,0,2,2,0,"GM/WS-025, GM/WS-033, GM/WS-059, GM/WS-076"
2021-06-21,M5EVT,4,28,0,0,0,2,2,0,"GM/WS-020, GM/WS-037, GM/WS-058, GM/WS-069"
2011-11-06,MM0YCJ,4,26,0,0,1,1,2,0,"GM/WS-034, GM/WS-048, GM/WS-082, GM/WS-160"
2020-08-14,M1HAX,4,26,0,0,0,3,1,0,"GM/NS-006, GM/NS-010, GM/NS-016, GM/NS-022"
2014-05-31,MM0YCJ,4,24,0,1,1,0,1,1,"GM/SS-003, GM/SS-005, GM/SS-021, GM/SS-091"
2025-10-07,MM0EFI,4,24,0,0,1,2,1,0,"GM/CS-022, GM/CS-028, GM/CS-043, GM/CS-078"
2025-10-07,GM5ALX,4,24,0,0,1,2,1,0,"GM/CS-022, GM/CS-028, GM/CS-043, GM/CS-078"
2003-02-15,MM1BJP,4,22,0,0,2,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-020, GM/SS-025"
2012-08-30,anon22082801,4,16,0,0,4,0,0,0,"GM/SI-006, GM/SI-007, GM/SI-008, GM/SI-011"
2024-12-02,GM5ALX,4,14,0,1,3,0,0,0,"GM/ES-028, GM/ES-037, GM/ES-043, GM/ES-058"
2010-05-30,anon22082801,4,9,1,2,1,0,0,0,"GM/ES-021, GM/ES-051, GM/ES-057, GM/ES-069"
2012-09-04,anon22082801,4,9,1,2,1,0,0,0,"GM/SS-021, GM/SS-091, GM/SS-218, GM/WS-256"
2018-08-20,G4OBK,4,9,1,2,1,0,0,0,"GM/SS-056, GM/SS-147, GM/SS-156, GM/SS-174"
2020-09-10,MM0TAI,4,9,1,2,1,0,0,0,"GM/CS-123, GM/ES-021, GM/ES-051, GM/ES-057"
2025-01-15,GM5ALX,4,9,1,2,1,0,0,0,"GM/ES-021, GM/ES-051, GM/ES-057, GM/ES-081"
2021-07-25,MM0YCJ,4,8,0,4,0,0,0,0,"GM/SS-074, GM/SS-082, GM/SS-100, GM/SS-142"
2011-02-23,G1INK,4,7,1,3,0,0,0,0,"GM/CS-122, GM/ES-056, GM/ES-058, GM/ES-063"
2012-09-05,anon22082801,4,7,1,3,0,0,0,0,"GM/SS-123, GM/SS-147, GM/SS-164, GM/SS-184"
2010-05-25,anon22082801,4,5,3,1,0,0,0,0,"GM/SS-260, GM/WS-303, GM/WS-339, GM/WS-346"
2011-06-24,G4OIG,4,5,3,1,0,0,0,0,"GM/SS-148, GM/SS-182, GM/SS-225, GM/SS-253"
2012-06-08,anon22082801,4,5,3,1,0,0,0,0,"GM/SS-160, GM/SS-270, GM/SS-279, GM/WS-341"
2012-08-27,anon22082801,4,5,3,1,0,0,0,0,"GM/SS-158, GM/SS-208, GM/SS-209, GM/SS-251"
2013-05-05,M0JLA,4,5,3,1,0,0,0,0,"GM/SS-154, GM/SS-190, GM/SS-198, GM/SS-242"
2013-05-05,M6BWA,4,5,3,1,0,0,0,0,"GM/SS-154, GM/SS-190, GM/SS-198, GM/SS-242"
2016-05-17,G4OBK,4,5,3,1,0,0,0,0,"GM/SS-133, GM/SS-211, GM/SS-212, GM/SS-253"
2022-04-22,G4VFL,4,5,3,1,0,0,0,0,"GM/SS-148, GM/SS-182, GM/SS-225, GM/SS-280"
2010-07-29,G4OIG,4,4,4,0,0,0,0,0,"GM/SS-197, GM/SS-210, GM/SS-244, GM/SS-263"
2011-05-31,anon22082801,4,4,4,0,0,0,0,0,"GM/SI-086, GM/SI-164, GM/SI-213, GM/SI-215"
2011-08-25,anon22082801,4,4,4,0,0,0,0,0,"GM/SI-092, GM/SI-104, GM/SI-115, GM/SI-176"
2012-05-27,anon22082801,4,4,4,0,0,0,0,0,"GM/CS-113, GM/CS-118, GM/NS-128, GM/SI-189"
2012-05-28,anon22082801,4,4,4,0,0,0,0,0,"GM/SI-097, GM/SI-168, GM/SI-190, GM/SI-191"
2012-09-29,G4MD,4,4,4,0,0,0,0,0,"GM/SS-212, GM/SS-214, GM/SS-253, GM/SS-263"
2013-10-01,G4OBK,4,4,4,0,0,0,0,0,"GM/SS-224, GM/SS-228, GM/SS-274, GM/SS-285"
2013-10-06,G0VWP,4,4,4,0,0,0,0,0,"GM/SS-224, GM/SS-228, GM/SS-274, GM/SS-285"
2014-04-16,G4OBK,4,4,4,0,0,0,0,0,"GM/SS-194, GM/SS-205, GM/SS-217, GM/SS-241"
2014-04-16,M0PYG,4,4,4,0,0,0,0,0,"GM/SS-194, GM/SS-205, GM/SS-217, GM/SS-241"
2014-08-26,G4MD,4,4,4,0,0,0,0,0,"GM/CS-113, GM/CS-117, GM/CS-118, GM/CS-119"
2014-08-26,G4OIG,4,4,4,0,0,0,0,0,"GM/CS-113, GM/CS-117, GM/CS-118, GM/CS-119"
2015-06-03,G4MD,4,4,4,0,0,0,0,0,"GM/SS-259, GM/SS-262, GM/SS-275, GM/SS-277"
2015-06-03,G4OIG,4,4,4,0,0,0,0,0,"GM/SS-259, GM/SS-262, GM/SS-275, GM/SS-277"
2018-05-18,G0HIO,4,4,4,0,0,0,0,0,"GM/SS-197, GM/SS-211, GM/SS-263, GM/SS-286"
2020-09-26,G4VFL,4,4,4,0,0,0,0,0,"GM/SS-191, GM/SS-232, GM/SS-238, GM/SS-245"
2022-06-27,M0HGY,4,4,4,0,0,0,0,0,"GM/SS-259, GM/SS-262, GM/SS-275, GM/SS-277"
2022-06-27,M1EYP,4,4,4,0,0,0,0,0,"GM/SS-259, GM/SS-262, GM/SS-275, GM/SS-277"
2022-10-31,MM0EFI,4,4,4,0,0,0,0,0,"GM/ES-071, GM/ES-079, GM/ES-082, GM/ES-083"
2022-11-07,MM0EFI,4,4,4,0,0,0,0,0,"GM/ES-073, GM/ES-081, GM/ES-084, GM/ES-087"
2012-03-24,MM0YCJ,3,30,0,0,0,0,0,3,"GM/ES-002, GM/ES-003, GM/ES-009"
2021-09-20,MM0EFI,3,30,0,0,0,0,0,3,"GM/ES-002, GM/ES-003, GM/ES-009"
2024-04-23,MM0EFI,3,30,0,0,0,0,0,3,"GM/WS-001, GM/WS-002, GM/WS-003"
2024-04-23,GW4BML,3,30,0,0,0,0,0,3,"GM/WS-001, GM/WS-002, GM/WS-003"
2003-09-27,MM1BJP,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2003-09-27,GM4COX,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2004-07-04,G4ZFZ,3,28,0,0,0,0,1,2,"GM/WS-002, GM/WS-005, GM/WS-021"
2005-07-01,GM7PKT,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2011-10-16,GM7PKT,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2012-07-01,MM0YCJ,3,28,0,0,0,0,1,2,"GM/SS-001, GM/SS-002, GM/SS-004"
2013-08-06,GM4COX,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2015-05-04,MM3WJZ,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2019-08-03,SQ9MDF,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-010, GM/WS-001"
2022-04-30,MM0EFI,3,28,0,0,0,0,1,2,"GM/ES-001, GM/ES-005, GM/ES-013"
2022-04-30,GW4BML,3,28,0,0,0,0,1,2,"GM/ES-001, GM/ES-005, GM/ES-013"
2022-06-21,M6GYU,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2022-07-27,MM0VPM,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2023-07-28,MM0YCJ,3,28,0,0,0,0,1,2,"GM/CS-001, GM/CS-004, GM/CS-026"
2004-07-25,GM7PKT,3,26,0,0,0,1,0,2,"GM/WS-008, GM/WS-012, GM/WS-064"
2021-08-02,GM3GAV,3,26,0,0,0,0,2,1,"GM/WS-004, GM/WS-029, GM/WS-054"
2003-06-25,GM4COX,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2003-09-27,GM7PKT,3,24,0,0,0,1,1,1,"GM/WS-011, GM/WS-049, GM/WS-087"
2003-10-18,GM7PKT,3,24,0,0,0,1,1,1,"GM/SS-003, GM/SS-005, GM/SS-009"
2004-05-02,GM7PKT,3,24,0,0,1,0,0,2,"GM/SS-001, GM/SS-002, GM/SS-060"
2004-05-15,GM7PKT,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2004-06-13,GM0UDL,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2004-06-13,MM0DOE,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2005-04-23,GM7PKT,3,24,0,0,0,1,1,1,"GM/CS-002, GM/CS-012, GM/CS-044"
2005-07-09,GM4TOE,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2005-07-16,GM7PKT,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2005-07-30,GM7PKT,3,24,0,0,0,1,1,1,"GM/WS-011, GM/WS-049, GM/WS-087"
2005-08-20,GM7PKT,3,24,0,0,0,1,1,1,"GM/SS-003, GM/SS-005, GM/SS-009"
2007-08-26,GM7PKT,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2009-05-30,GM7PKT,3,24,0,0,0,1,1,1,"GM/WS-011, GM/WS-049, GM/WS-087"
2010-08-21,GM7PKT,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2011-04-24,GM7PKT,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2012-09-22,GM7PKT,3,24,0,0,0,1,1,1,"GM/WS-011, GM/WS-049, GM/WS-087"
2013-09-14,GM7PKT,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2013-10-05,MM0YCJ,3,24,0,0,0,0,3,0,"GM/CS-011, GM/CS-014, GM/CS-020"
2016-06-18,MM3WJZ,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2018-06-10,GM3GAV,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2021-11-04,MM0EFI,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2022-05-19,G5AIB,3,24,0,0,0,0,3,0,"GM/CS-011, GM/CS-014, GM/CS-020"
2023-04-26,MM0VPM,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2024-09-06,G5JFJ,3,24,0,0,0,0,3,0,"GM/CS-008, GM/CS-015, GM/CS-025"
2024-09-21,MM7LEF,3,24,0,0,0,1,1,1,"GM/SS-003, GM/SS-005, GM/SS-009"
2025-05-14,GM5ALX,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2025-05-28,KK7BCO,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2025-06-19,GM4KNU,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2025-08-02,MM7VXJ,3,24,0,0,0,1,1,1,"GM/CS-003, GM/CS-009, GM/CS-029"
2003-10-04,MM1BJP,3,22,0,0,1,0,1,1,"GM/WS-017, GM/WS-019, GM/WS-140"
2004-06-02,MW0YLS,3,22,0,0,0,1,2,0,"GM/WS-020, GM/WS-037, GM/WS-069"
2005-05-14,GM7PKT,3,22,0,0,1,0,1,1,"GM/WS-017, GM/WS-019, GM/WS-140"
2005-07-30,GM4COX,3,22,0,0,1,0,1,1,"GM/WS-017, GM/WS-019, GM/WS-140"
2007-05-05,GM7PKT,3,22,0,0,1,0,1,1,"GM/WS-017, GM/WS-019, GM/WS-140"
2012-02-12,MM0YCJ,3,22,0,0,1,0,1,1,"GM/WS-017, GM/WS-019, GM/WS-140"
2021-06-20,M5EVT,3,22,0,0,1,0,1,1,"GM/WS-011, GM/WS-049, GM/WS-177"
2021-08-29,GM3GAV,3,22,0,0,0,1,2,0,"GM/WS-034, GM/WS-048, GM/WS-082"
2025-04-24,GM4KNU,3,22,0,0,1,0,1,1,"GM/WS-017, GM/WS-019, GM/WS-140"
2025-07-12,KK7BCO,3,22,0,0,0,1,2,0,"GM/WS-020, GM/WS-037, GM/WS-069"
2004-04-25,GM7PKT,3,20,0,0,0,2,1,0,"GM/WS-025, GM/WS-059, GM/WS-076"
2004-05-30,GM7PKT,3,20,0,0,1,1,0,1,"GM/WS-005, GM/WS-072, GM/WS-166"
2004-06-07,GM0UDL,3,20,0,0,0,2,1,0,"GM/SS-006, GM/SS-016, GM/SS-017"
2004-09-05,GM7PKT,3,20,0,0,0,2,1,0,"GM/NS-002, GM/NS-007, GM/NS-008"
2005-05-24,GM7PKT,3,20,0,0,1,1,0,1,"GM/WS-005, GM/WS-072, GM/WS-166"
2011-07-23,MM3WJZ,3,20,0,0,0,2,1,0,"GM/WS-025, GM/WS-059, GM/WS-076"
2012-09-22,MM0YCJ,3,20,0,0,0,2,1,0,"GM/NS-006, GM/NS-010, GM/NS-022"
2019-04-28,MM0YCJ,3,20,0,0,0,2,1,0,"GM/WS-033, GM/WS-059, GM/WS-094"
2019-09-08,GM3GAV,3,20,0,0,0,2,1,0,"GM/WS-025, GM/WS-059, GM/WS-076"
2022-05-02,GM3GAV,3,20,0,0,0,2,1,0,"GM/NS-006, GM/NS-010, GM/NS-016"
2022-07-12,MM0EFI,3,20,0,0,0,2,1,0,"GM/CS-024, GM/CS-027, GM/CS-045"
2022-07-13,MM0EFI,3,20,0,0,0,2,1,0,"GM/CS-023, GM/CS-031, GM/CS-051"
2022-08-27,MM0EFI,3,20,0,0,1,0,2,0,"GM/ES-010, GM/ES-011, GM/ES-017"
2004-02-21,GM7PKT,3,18,0,0,1,1,1,0,"GM/CS-022, GM/CS-028, GM/CS-078"
2004-08-07,GM7PKT,3,18,0,0,0,3,0,0,"GM/WS-081, GM/WS-088, GM/WS-091"
2005-03-05,MM1BJP,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-025"
2005-05-14,GM4TOE,3,18,0,0,1,1,1,0,"GM/CS-022, GM/CS-028, GM/CS-078"
2005-08-27,GM7PKT,3,18,0,0,1,1,1,0,"GM/CS-022, GM/CS-028, GM/CS-078"
2006-09-07,G7KXV,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-020"
2006-09-08,GM4TOE,3,18,0,0,1,1,1,0,"GM/CS-022, GM/CS-028, GM/CS-078"
2008-05-26,MM0DHY,3,18,0,0,1,1,1,0,"GM/CS-022, GM/CS-028, GM/CS-078"
2011-10-23,MM0YCJ,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-025"
2013-06-21,GM4COX,3,18,0,0,1,1,1,0,"GM/CS-022, GM/CS-028, GM/CS-078"
2013-09-14,MM0YCJ,3,18,0,0,0,3,0,0,"GM/NS-013, GM/NS-016, GM/NS-021"
2013-10-12,MM0YCJ,3,18,0,0,2,0,0,1,"GM/WS-015, GM/WS-147, GM/WS-166"
2015-05-09,MM0YCJ,3,18,0,0,0,3,0,0,"GM/WS-092, GM/WS-102, GM/WS-112"
2016-06-04,MM0YCJ,3,18,0,0,0,3,0,0,"GM/WS-075, GM/WS-080, GM/WS-107"
2018-07-18,GW4TJC,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-020"
2020-08-08,2M0LXX,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-020"
2020-08-08,MM7MMW,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-020"
2024-05-30,G4TGJ,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-025"
2024-06-12,KK7BCO,3,18,0,0,1,1,1,0,"GM/SS-006, GM/SS-016, GM/SS-020"
2025-10-12,GM4KNU,3,18,0,0,1,1,1,0,"GM/CS-022, GM/CS-028, GM/CS-078"
2004-03-06,GM7PKT,3,16,0,0,1,2,0,0,"GM/CS-033, GM/CS-042, GM/CS-063"
2004-07-11,MM0DHY,3,16,0,0,1,2,0,0,"GM/WS-077, GM/WS-097, GM/WS-135"
2004-12-30,G4ZFZ,3,16,0,0,1,2,0,0,"GM/WS-081, GM/WS-088, GM/WS-136"
2005-05-07,GM7PKT,3,16,0,0,1,2,0,0,"GM/CS-033, GM/CS-042, GM/CS-063"
2005-12-12,GM4COX,3,16,0,0,1,2,0,0,"GM/CS-033, GM/CS-042, GM/CS-063"
2011-07-23,GM4COX,3,16,0,0,2,0,1,0,"GM/CS-021, GM/CS-055, GM/CS-071"
2011-09-18,MM0YCJ,3,16,0,0,1,2,0,0,"GM/WS-067, GM/WS-086, GM/WS-171"
2012-10-07,MM0YCJ,3,16,0,0,1,2,0,0,"GM/WS-081, GM/WS-088, GM/WS-136"
2013-04-27,MM3WJZ,3,16,0,0,1,2,0,0,"GM/CS-032, GM/CS-040, GM/CS-066"
2014-06-28,G0EVV,3,16,0,1,0,1,1,0,"GM/WS-051, GM/WS-085, GM/WS-254"
2014-11-08,MM0YCJ,3,16,0,0,1,2,0,0,"GM/CS-032, GM/CS-048, GM/CS-066"
2019-06-22,GM3GAV,3,16,0,0,1,2,0,0,"GM/WS-081, GM/WS-088, GM/WS-136"
2021-08-23,MM0YCJ,3,16,0,1,0,1,1,0,"GM/WS-051, GM/WS-085, GM/WS-254"
2023-04-07,MM0VPM,3,16,0,0,1,2,0,0,"GM/SS-008, GM/SS-010, GM/SS-034"
2015-05-30,MM0YCJ,3,15,1,0,0,1,1,0,"GM/WS-022, GM/WS-083, GM/WS-305"
2004-02-08,GM7PKT,3,14,0,0,2,1,0,0,"GM/CS-050, GM/WS-156, GM/WS-169"
2004-08-14,GM7PKT,3,14,0,0,2,1,0,0,"GM/SS-018, GM/SS-027, GM/SS-040"
2022-04-25,MM0DHY,3,14,0,0,2,1,0,0,"GM/CS-050, GM/CS-055, GM/CS-071"
2025-08-25,G5OLD,3,14,0,0,2,1,0,0,"GM/CS-050, GM/CS-055, GM/CS-071"
2004-05-15,G4ZFZ,3,12,0,1,1,1,0,0,"GM/CS-044, GM/CS-067, GM/CS-090"
2004-07-11,G4ZFZ,3,12,0,1,1,1,0,0,"GM/WS-110, GM/WS-177, GM/WS-253"
2006-10-15,GM7PKT,3,12,0,0,3,0,0,0,"GM/WS-128, GM/WS-134, GM/WS-164"
2007-02-01,G1INK,3,12,0,0,3,0,0,0,"GM/SS-027, GM/SS-040, GM/SS-046"
2008-04-27,MM1BJP,3,12,0,1,1,1,0,0,"GM/SI-003, GM/SI-034, GM/SI-043"
2012-03-23,GM0UDL,3,12,0,0,3,0,0,0,"GM/NS-035, GM/NS-045, GM/NS-051"
2012-08-04,MM0YCJ,3,12,0,0,3,0,0,0,"GM/SI-007, GM/SI-008, GM/SI-011"
2014-01-01,MM0YCJ,3,12,0,0,3,0,0,0,"GM/NS-035, GM/NS-045, GM/NS-051"
2014-08-30,MM0YCJ,3,12,0,0,3,0,0,0,"GM/SI-009, GM/SI-014, GM/SI-033"
2015-04-18,MM0YCJ,3,12,0,0,3,0,0,0,"GM/WS-128, GM/WS-134, GM/WS-164"
2017-02-17,G1INK,3,12,0,0,3,0,0,0,"GM/SS-062, GM/SS-066, GM/SS-068"
2022-04-13,M5EVT,3,12,0,0,3,0,0,0,"GM/SI-009, GM/SI-014, GM/SI-033"
2023-08-28,M5EVT,3,12,0,0,3,0,0,0,"GM/NS-035, GM/NS-045, GM/NS-051"
2024-03-11,MM0YCJ,3,12,0,0,3,0,0,0,"GM/WS-159, GM/WS-168, GM/WS-207"
2024-05-11,G5OLD,3,12,0,0,3,0,0,0,"GM/SI-009, GM/SI-014, GM/SI-033"
2025-04-07,MM0VPM,3,12,0,0,3,0,0,0,"GM/SI-006, GM/SI-007, GM/SI-011"
2025-04-21,GW4BML,3,12,0,0,3,0,0,0,"GM/NS-035, GM/NS-045, GM/NS-051"
2025-05-10,GM3GAV,3,12,0,0,3,0,0,0,"GM/SI-013, GM/SI-018, GM/SI-022"
2025-05-20,MM0YCJ,3,12,0,0,3,0,0,0,"GM/WS-194, GM/WS-195, GM/WS-223"
2025-12-30,GW4BML,3,12,0,0,3,0,0,0,"GM/SI-007, GM/SI-008, GM/SI-011"
2003-02-01,MM1BJP,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2003-09-10,GM4COX,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2004-02-14,GM7PKT,3,10,0,1,2,0,0,0,"GM/WS-150, GM/WS-192, GM/WS-249"
2004-03-07,GM7PKT,3,10,0,1,2,0,0,0,"GM/CS-080, GM/CS-081, GM/CS-100"
2005-01-23,MM1BJP,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2006-01-07,MM1BJP,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2006-01-28,GM7PKT,3,10,0,1,2,0,0,0,"GM/WS-150, GM/WS-192, GM/WS-249"
2007-12-11,MM1BJP,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2008-01-12,MM1BJP,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2010-12-18,MM1BJP,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2013-03-31,MM0DHY,3,10,0,1,2,0,0,0,"GM/NS-039, GM/NS-054, GM/NS-085"
2013-03-31,MM0YCJ,3,10,0,1,2,0,0,0,"GM/NS-039, GM/NS-054, GM/NS-085"
2015-07-25,GM7PKT,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-090"
2018-05-12,MM0YCJ,3,10,0,1,2,0,0,0,"GM/WS-150, GM/WS-192, GM/WS-249"
2024-05-05,M0MZB,3,10,0,1,2,0,0,0,"GM/SS-028, GM/SS-073, GM/SS-287"
2025-11-20,GM4KNU,3,10,0,1,2,0,0,0,"GM/SS-054, GM/SS-068, GM/SS-080"
2016-06-30,GM7PKT,3,9,1,0,2,0,0,0,"GM/CS-077, GM/CS-116, GM/ES-035"
2004-10-09,G4ZFZ,3,8,0,2,1,0,0,0,"GM/WS-173, GM/WS-261, GM/WS-280"
2005-01-29,GM7PKT,3,8,0,2,1,0,0,0,"GM/WS-189, GM/WS-234, GM/WS-243"
2006-01-07,GM4TOE,3,8,0,2,1,0,0,0,"GM/ES-021, GM/ES-051, GM/ES-057"
2006-01-14,GM7PKT,3,8,0,2,1,0,0,0,"GM/WS-187, GM/WS-228, GM/WS-244"
2008-10-18,M1AVV,3,8,0,2,1,0,0,0,"GM/SS-056, GM/SS-123, GM/SS-131"
2012-08-28,anon22082801,3,8,0,2,1,0,0,0,"GM/SS-159, GM/WS-216, GM/WS-282"
2025-02-26,MM0EFI,3,8,0,2,1,0,0,0,"GM/CS-086, GM/CS-095, GM/WS-277"
2025-03-01,MM0RFN,3,8,0,2,1,0,0,0,"GM/ES-021, GM/ES-051, GM/ES-057"
2025-12-08,GM5ALX,3,8,0,2,1,0,0,0,"GM/ES-035, GM/ES-044, GM/ES-048"
2026-01-13,MM0EFI,3,8,0,2,1,0,0,0,"GM/ES-021, GM/ES-051, GM/ES-057"
2026-01-13,GM5ALX,3,8,0,2,1,0,0,0,"GM/ES-021, GM/ES-051, GM/ES-057"
2012-02-06,G1INK,3,7,1,1,1,0,0,0,"GM/SS-021, GM/SS-091, GM/SS-270"
2022-04-29,G4VFL,3,7,1,1,1,0,0,0,"GM/SS-049, GM/SS-077, GM/SS-203"
2003-03-06,GM4COX,3,6,0,3,0,0,0,0,"GM/SS-128, GM/SS-143, GM/SS-145"
2011-02-24,G1INK,3,6,0,3,0,0,0,0,"GM/CS-108, GM/SS-104, GM/SS-105"
2011-03-06,2M0NCM,3,6,0,3,0,0,0,0,"GM/SS-128, GM/SS-143, GM/SS-145"
2011-08-23,anon22082801,3,6,2,0,1,0,0,0,"GM/SI-028, GM/SI-081, GM/SI-139"
2014-04-14,G4OBK,3,6,0,3,0,0,0,0,"GM/SS-082, GM/SS-100, GM/SS-142"
2014-04-14,M0PYG,3,6,0,3,0,0,0,0,"GM/SS-082, GM/SS-100, GM/SS-142"
2014-04-15,G4OBK,3,6,0,3,0,0,0,0,"GM/SS-075, GM/SS-112, GM/SS-131"
2014-04-15,M0PYG,3,6,0,3,0,0,0,0,"GM/SS-075, GM/SS-112, GM/SS-131"
2015-06-04,G4OBK,3,6,0,3,0,0,0,0,"GM/SS-118, GM/SS-136, GM/SS-146"
2016-03-13,GM7PKT,3,6,0,3,0,0,0,0,"GM/SS-128, GM/SS-143, GM/SS-145"
